Fire_ID,Fire_Year,Fire_Start,BurnDay,sdd,tssm,avgBio,cc,age,tri,RBR_median,RBR_quant,RBR_cv,FIRE_FINAL,size_class,dc,pyroregion
KLK9_2004_1508,2004,2004-10-01,274,116,158,82.5408401489258,59.7905769348145,91.0957946777344,7.24659156799316,491.7569191,558.397585992608,0.202867433,72,1,206.399096034759,0
THU31_2005_1510,2005,2005-07-26,206,104,102,107.234832763672,79.9476852416992,98.3065719604492,12.8873920440674,322.6846793,465.45025009848,0.47082445,1428,2,226.280440212756,1
TIM19_2005_1512,2005,2005-07-15,195,98,97,34.906436920166,23.6929302215576,54.6067543029785,11.3950824737549,202.6496423,287.188290863062,0.452248126,3200,2,343.686851532496,0
CHA18_2005_1513,2005,2005-07-18,198,95,103,76.5823287963867,54.1185874938965,92.6109848022461,5.36314153671265,205.2069328,454.017722791352,0.696171939,60,1,339.230324325997,0
TIM7_2005_1515,2005,2005-05-27,146,87,59,80.3264083862305,62.5608253479004,78.7727584838867,7.54751062393188,362.5522487,527.033219005409,0.452403516,449,1,109.958529391557,0
TIM5_2005_1517,2005,2005-05-27,146,92,54,81.5326385498047,55.6787490844727,80.8953170776367,28.0794696807861,242.2335682,423.318013094569,0.583836555,440,1,132.065864996784,0
FOR14_2005_1514,2005,2005-08-07,218,97,121,77.4803619384766,59.4845809936523,76.6519393920898,21.5653171539307,161.1080187,265.836731336764,0.505620062,430,1,243.715043609107,1
FOR24_2005_1516,2005,2005-08-02,213,95,118,80.209587097168,58.701961517334,67.8437461853027,27.6148052215576,216.7742916,321.732281504606,0.381056696,213,1,210.990295212507,1
SLK40_2005_1534,2005,2005-08-07,218,122,96,28.1924610137939,30.4382438659668,61.220760345459,9.19931507110596,157.5775021,414.572029080233,0.888444126,100,1,161.209247349459,1
SLK25_2005_1535,2005,2005-07-12,192,102,90,84.2929763793945,70.4226150512695,102.3857421875,2.53960943222046,288.7521984,424.778324792187,0.458884895,111,1,68.6816360441763,1
NIP104_2005_1536,2005,2005-08-09,220,101,119,112.87281036377,77.7447814941406,110.317741394043,4.12350034713745,167.7607524,444.36069655226,0.95579516899999994,65,1,272.107836151443,1
WAW21_2003_1406,2003,2003-06-21,171,111,60,83.2938613891602,54.3035888671875,93.7702941894531,15.8516550064087,195.0338972,325.808122948234,0.618899405,5783,2,222.095354679912,0
SLK20_2003_1434,2003,2003-05-17,136,99,37,107.317153930664,79.8221664428711,81.8260650634766,5.94026803970337,366.0191263,549.04693456197,0.594283879,52,1,81.0696573569661,1
SAU7_2003_1436,2003,2003-05-06,125,99,26,27.4956130981445,24.9505653381348,49.4082221984863,7.86517333984375,157.9174946,206.352016301205,0.269655228,90,1,52.4676505569773,0
RED65_2003_1440,2003,2003-06-18,168,98,70,71.6021881103516,61.5876617431641,73.3930435180664,17.1703834533691,414.2822236,519.123456088452,0.381724358,135,1,181.221496059212,1
KLK5_2003_1495,2003,2003-05-20,139,102,37,43.0733642578125,32.8975143432617,44.3371887207031,14.037712097168,110.0749227,203.09893080493,0.663647413,172,1,48.6879317316189,1
KLK9_2003_1496,2003,2003-05-07,126,119,7,74.8881149291992,52.9544296264648,76.8685455322266,12.8245191574097,391.8168297,438.120965964635,0.224900156,103,1,27.8681619641805,0
THU28_2003_1502,2003,2003-05-09,128,95,33,60.753963470459,42.110652923584,61.8514404296875,8.73504638671875,77.5923027,140.083775481296,0.624892473,50,1,63.1432306022818,1
WAW23_2003_1503,2003,2003-06-21,171,115,56,74.2804489135742,54.2152709960938,92.1700057983398,31.5488605499268,218.0902209,341.385552457478,0.435790926,746,2,232.679256306918,0
THU66_2003_1537,2003,2003-06-23,173,113,60,95.0562133789062,64.900146484375,93.5423812866211,19.2344570159912,284.8863745,457.394724737879,0.464809984,250,1,193.284741027179,1
NIP112_2005_1518,2005,2005-08-08,219,110,109,102.747909545898,70.6497802734375,99.7985305786133,10.0247688293457,213.8314429,412.204231841523,0.685264587,325,1,218.726000164811,1
COC10_2005_1519,2005,2005-05-27,146,103,43,74.6438217163086,53.7310218811035,105.772071838379,5.72784042358398,259.5454479,477.635190029475,0.581645131,350,1,80.8007837005461,0
